message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.467244])";"30";"turtlesim3.sim";"1699873233.319150294";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.467244])";"30";"turtlesim2.sim";"1699873233.313210622";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.459836])";"30";"turtlesim3.sim";"1699873233.302967684";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.459836])";"30";"turtlesim2.sim";"1699873233.297479560";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.467244])";"30";"turtlesim1.sim";"1699873233.296430758";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.452428])";"30";"turtlesim3.sim";"1699873233.287408352";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.452428])";"30";"turtlesim2.sim";"1699873233.280884574";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.459836])";"30";"turtlesim1.sim";"1699873233.280775636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.445019])";"30";"turtlesim3.sim";"1699873233.271148162";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.445019])";"30";"turtlesim2.sim";"1699873233.264999478";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.452428])";"30";"turtlesim1.sim";"1699873233.264205687";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.437611])";"30";"turtlesim3.sim";"1699873233.255784177";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.437611])";"30";"turtlesim2.sim";"1699873233.249596328";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.445019])";"30";"turtlesim1.sim";"1699873233.248818098";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.430203])";"30";"turtlesim3.sim";"1699873233.239229806";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.437611])";"30";"turtlesim1.sim";"1699873233.233221706";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.430203])";"30";"turtlesim2.sim";"1699873233.232969424";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.120020, y=10.422794])";"30";"turtlesim3.sim";"1699873233.222732155";"./src/turtle.cpp:update:260"
